Table 4-2:  Emissions from Industrial Processes and Product Use (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Lead Production,516,485 ,488 ,486 ,507 ,553 ,563 ,585 ,588 ,587 ,594 ,563 ,561 ,574 ,546 ,553,560 ,562 ,547 ,525 ,542 ,538 ,527 ,546,459,473,450,455
,Silicon Carbide Production and Consumption,375,287 ,313 ,297 ,325 ,329 ,332 ,347 ,373 ,301 ,248 ,199 ,183 ,202 ,224 ,219,207 ,196 ,175 ,145 ,181 ,170 ,158 ,169,173,180,174,186
,Magnesium Production and Processing,1,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,3,3 ,3 ,2 ,1 ,1 ,3 ,2 ,2,2,3,3,3
,CH4,12,12 ,11 ,13 ,14 ,15 ,15 ,16 ,16 ,15 ,14 ,10 ,10 ,10 ,8 ,4,3 ,3 ,3 ,3 ,3 ,3 ,4 ,4,6,9,11,11
,Petrochemical Production,9,9 ,9 ,11 ,12 ,12 ,13 ,14 ,14 ,13 ,12 ,8 ,8 ,8 ,7 ,3,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3,5,7,10,10
,Ferroalloy Production,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,+ ,1,1,1,1
,Silicon Carbide Production and Consumption,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Metallurgical Coke Production,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0
,N2O,112,110 ,104 ,110 ,111 ,124 ,125 ,103 ,88 ,84 ,85 ,74 ,77 ,76 ,71 ,84,88 ,101 ,68 ,62 ,74 ,93 ,75 ,71,77,75,79,76
,Nitric Acid Production,41,41 ,42 ,42 ,45 ,45 ,47 ,48 ,48 ,46 ,45 ,36 ,39 ,37 ,37 ,38,37 ,44 ,38 ,32 ,39 ,37 ,35 ,36,37,39,34,31
,Adipic Acid Production,51,50 ,44 ,47 ,45 ,57 ,56 ,32 ,17 ,16 ,18 ,15 ,17 ,18 ,12 ,24,29 ,34 ,8 ,9 ,14 ,34 ,19 ,13,18,14,23,25
,N2O from Product Uses,14,14 ,13 ,15 ,15 ,15 ,15 ,16 ,16 ,16 ,16 ,16 ,14 ,14 ,14 ,14,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14,14,14,14,14
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",6,5 ,6 ,6 ,6 ,7 ,6 ,7 ,7 ,7 ,7 ,6 ,7 ,7 ,7 ,7,7 ,7 ,7 ,6 ,7 ,7 ,7 ,7,7,7,7,5
,Semiconductor Manufacture,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,1 ,1 ,+ ,+ ,1 ,1 ,1,1,1,1,1
,HFCs,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Substitution of Ozone Depleting Substancesa,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,HCFC-22 Production,3,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,1 ,1 ,1,1 ,1 ,1 ,+ ,1 ,1 ,+ ,+ ,+ ,+ ,+ ,+ 
,Semiconductor Manufacture,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Magnesium Production and Processing,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,PFCs,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Semiconductor Manufacture,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Aluminum Production,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Substitution of Ozone Depleting Substances,0,0 ,0 ,0 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,SF6,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Electrical Transmission and Distribution,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Magnesium Production and Processing,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Semiconductor Manufacture,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,NF3,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Semiconductor Manufacture,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M (Mixture of gases),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
